# Option 4. Preprocessing description: ordinal encoding only, imputing, no cutoff
age,job,marital,education,default,housing,loan,contact,month,day_of_week,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
50,1.0,2.0,0.0,0,0,0,0,5,4,2,-1,0,0,1.1,93.994,-36.4,4.86,5191.0,0
51,7.0,1.0,5.0,0,0,0,0,5,1,5,-1,0,0,1.1,93.994,-36.4,4.858,5191.0,0
46,9.0,0.0,5.0,0,1,0,1,5,1,2,-1,0,0,-1.8,92.893,-46.2,1.244,5099.1,0
46,0.0,2.0,6.0,0,1,0,0,6,1,1,-1,0,0,1.4,94.465,-41.8,4.961,5228.1,0
25,7.0,2.0,3.0,0,0,0,1,5,4,5,-1,0,0,-1.8,92.893,-46.2,1.266,5099.1,1
52,9.0,1.0,1.0,0,0,0,1,5,4,3,-1,1,-1,-1.8,92.893,-46.2,1.266,5099.1,0
29,9.0,2.0,6.0,0,1,0,1,6,3,1,-1,0,0,-2.9,92.963,-40.8,1.26,5076.2,0
42,9.0,1.0,5.0,0,0,0,1,7,1,3,-1,0,0,1.4,93.918,-42.7,4.96,5228.1,0
52,0.0,1.0,0.0,0,1,1,1,11,1,3,-1,0,0,-0.1,93.2,-42.0,4.191,5195.8,0
47,3.0,1.0,0.0,0,1,0,1,11,3,1,-1,0,0,-0.1,93.2,-42.0,4.12,5195.8,0
40,9.0,1.0,2.0,0,1,0,1,7,4,1,-1,0,0,1.4,93.918,-42.7,4.963,5228.1,0
54,4.0,1.0,3.0,0,0,0,1,8,3,3,-1,1,-1,-1.7,94.027,-38.3,0.894,4991.6,0
50,4.0,1.0,6.0,0,1,0,0,5,3,2,-1,0,0,1.1,93.994,-36.4,4.857,5191.0,0
44,1.0,1.0,2.0,0,1,0,1,7,1,2,-1,0,0,1.4,93.918,-42.7,4.96,5228.1,0
38,1.0,1.0,2.0,0,0,1,1,4,5,2,-1,2,-1,-1.8,93.075,-47.1,1.405,5099.1,0
47,1.0,1.0,1.0,0,1,0,0,5,5,1,-1,0,0,1.1,93.994,-36.4,4.857,5191.0,1
31,4.0,1.0,6.0,0,0,0,1,8,1,4,-1,0,0,1.4,93.444,-36.1,4.965,5228.1,0
49,7.0,1.0,3.0,0,1,0,1,5,4,1,-1,0,0,-1.8,92.893,-46.2,1.266,5099.1,0
40,9.0,1.0,5.0,0,1,1,1,7,3,1,-1,0,0,1.4,93.918,-42.7,4.962,5228.1,0
36,1.0,1.0,2.0,0,0,0,1,5,4,2,-1,0,0,-1.8,92.893,-46.2,1.327,5099.1,0
27,0.0,2.0,3.0,0,1,1,1,5,1,1,-1,0,0,-1.8,92.893,-46.2,1.299,5099.1,0
